305,244
305,110
476,391
371,389
489,365
494,466
304,164
408,390
160,375
409,31
357,73
20,435
156,244
221,152
475,73
405,353
374,400
482,465
348,316
499,329
19,458
206,492
62,86
119,340
340,257
373,116
139,212
359,141
364,284
496,264
260,338
297,182
230,38
188,171
320,216
75,201
447,414
287,307
494,151
200,178
337,443
322,243
474,375
114,241
464,159
252,53
197,105
243,448
210,179
20,45
70,383
241,10
229,406
430,285
363,306
365,174
15,298
112,301
260,395
138,449
113,398
17,303
7,324
42,418
256,29
49,174
12,395
402,199
363,43
75,451
128,147
63,273
162,420
440,77
363,348
433,390
327,370
225,191
462,491
447,459
91,162
461,391
162,362
338,283
259,321
371,230
108,231
169,231
235,216
373,68
258,109
425,301
455,54
426,246
400,248
445,419
47,42
156,273
476,498
165,445
107,3
83,397
355,237
294,303
240,205
23,99
17,133
499,24
160,370
205,80
143,241
321,388
41,77
133,439
270,442
2,90
238,276
417,106
44,106
74,491
449,161
19,331
273,213
370,275
86,187
369,373
171,175
65,280
365,135
403,486
115,274
199,35
213,313
391,280
302,384
440,341
448,476
475,23
53,348
268,324
389,403
392,436
251,339
386,396
138,317
175,98
58,211
74,416
208,69
398,421
28,400
220,261
470,84
393,492
50,226
393,400
279,239
219,339
78,109
195,227
132,108
467,460
250,355
131,237
206,125
41,45
500,407
163,290
423,379
33,307
358,176
253,299
356,124
390,300
355,277
93,346
363,23
339,478
231,368
440,85
11,403
203,325
131,233
460,386
480,102
424,203
309,250
438,121
349,282
95,120
367,83
446,367
16,40
24,175
43,337
94,101
232,92
386,7
16,334
51,293
48,433
293,92
85,344
163,86
175,109
96,359
265,232
490,437
297,374
223,304
169,364
304,140
369,306
140,463
309,166
163,164
230,493
387,84
132,45
370,340
3,117
482,229
408,333
393,118
119,154
318,306
131,140
428,345
331,92
451,388
180,444
29,265
209,99
462,263
219,216
261,274
330,316
306,249
417,78
94,72
340,484
334,44
187,104
476,1
136,237
42,185
279,477
298,365
142,274
492,173
342,104
30,258
121,407
65,2
161,253
313,317
198,126
41,500
227,213
165,399
354,437
131,137
280,77
90,212
405,209
467,84
312,234
190,362
433,65
444,333
179,324
33,488
49,1
264,302
75,145
490,361
137,213
453,222
473,448
443,15
243,408
193,454
488,430
99,68
142,259
127,484
139,329
402,4
28,105
7,235
420,84
391,158
58,226
74,150
225,286
36,37
465,193
102,419
371,396
330,17
221,31
23,242
450,440
456,384
45,116
484,116
408,150
464,241
50,430
268,11
239,294
314,450
280,396
135,269
138,220
158,133
486,398
345,55
93,256
484,445
219,394
223,378
135,477
123,152
390,63
173,96
476,70
87,179
306,24
25,191
458,351
180,139
276,246
316,206
179,4
90,440
207,373
208,452
323,489
157,96
287,394
209,346
236,125
467,241
270,31
233,163
470,35
457,33
70,475
471,43
319,143
37,65
451,447
468,287
205,395
368,39
43,206
337,278
471,249
43,497
428,178
432,27
277,200
294,484
339,237
1,301
447,371
272,58
393,132
453,468
259,419
488,227
16,106
113,281
13,324
125,115
415,426
460,340
163,377
228,438
154,464
70,11
296,111
55,102
70,476
392,134
249,478
491,329
375,382
205,322
427,62
177,490
391,338
399,362
73,158
327,10
382,387
427,141
494,298
485,450
233,314
459,200
360,226
444,78
446,49
388,47
100,111
475,14
216,127
352,470
10,321
148,433
310,53
59,343
89,440
233,420
2,9
253,109
244,478
22,311
293,445
3,118
42,473
384,129
171,192
308,406
466,89
120,269
497,290
455,293
27,395
476,135
322,406
13,274
173,256
463,95
185,5
39,2
33,226
125,183
296,494
8,451
333,124
454,241
67,2
359,170
78,220
90,21
129,31
30,459
225,41
329,231
100,96
326,167
243,182
291,298
383,292
55,104
187,59
490,319
393,264
108,372
98,164
462,396
146,360
165,209
52,402
75,276
474,202
292,277
310,14
250,64
479,313
327,214
293,113
469,376
289,98
55,446
498,473
275,350
206,128
372,492
40,323
139,84
183,314
309,255
457,370
216,58
40,385
303,487
330,157
414,71
352,380
53,381
355,419
192,291
139,247
254,96
296,459
331,409
220,397
73,79
399,457
23,434
338,417
213,489
319,365
405,403
272,196
291,292
257,119
59,168
310,134
204,18
229,199
402,449
82,427
226,263
463,218
271,203
281,149
116,125
360,403
151,66
271,122
453,339
42,335
468,391
372,262
202,30
260,209
451,104
196,385
321,340
179,34
406,28
174,190
97,173
110,321
211,43
378,256
49,29
171,483
404,75
469,265
420,292
382,87
23,330
194,385
330,129
428,184
212,98
143,433
132,469
356,184
124,491
446,46
309,236
406,128
143,234
405,186
30,46
36,112
384,343
79,16
144,213
25,378
391,375
190,221
315,32
306,248
428,370
470,479
456,89
226,343
182,11
251,181
90,24
294,208
106,436
62,275
221,1
10,181
132,409
385,48
321,437
405,2
198,2
171,375
154,253
279,347
327,389
137,37
58,153
356,2
212,461
334,408
379,117
67,498
31,320
486,217
396,52
101,380
220,140
412,59
175,384
47,340
473,285
139,161
63,445
275,84
457,54
322,111
307,154
65,397
168,458
481,402
305,162
411,51
3,417
155,219
195,31
209,83
234,430
486,173
391,176
56,500
94,382
421,102
15,172
3,450
413,433
106,491
223,429
213,94
390,432
355,119
298,231
49,193
114,290
147,89
4,475
120,147
294,376
443,399
451,203
216,117
354,125
85,16
341,493
471,18
187,39
3,464
318,393
84,208
44,477
420,284
368,201
445,486
98,412
204,80
465,63
187,81
486,495
76,158
193,307
234,181
205,220
451,297
274,40
303,431
337,375
221,424
421,145
336,33
388,451
247,105
351,109
324,469
163,486
333,380
195,351
203,175
413,374
12,121
82,332
281,353
421,138
466,137
106,269
215,156
78,314
311,250
425,204
27,90
150,270
34,140
161,264
415,165
117,78
186,472
188,477
284,205
250,177
198,242
413,15
121,143
53,320
14,80
257,132
